week,manager,team_name,points,points_against,projected_points,expected_wins
6,Adam,St. Louis Football Team,104.18,125.16,145.9,0.04115106088747847
6,Jean,Djeango,125.16,104.18,153.38,0.16144484494243128
6,roy s,Running Up That Hill,128.72,173.76,136.78,0.1989572123853863
6,JoeB,Mac & Chase,173.76,128.72,137.94,0.8616975287850703
6,Andy,AndysTeamThatDoesNotInspireAwe,134.96,159.0,156.15,0.2796098361707108
6,Khari,Toney! Toni! Toné!,159.0,134.96,143.97,0.6842753909695866
6,Jake,Lil Uzi Hurts,137.94,135.0,167.87,0.32449282504449684
6,Christopher,Christopher's Perfect Team,135.0,137.94,130.22,0.28018662863823773
6,sox fan,2 Gurleys 1 Kupp,123.56,147.48,157.73,0.1465418815924454
6,JL,Hit Me With Your Prescott,147.48,123.56,159.79,0.48733209889640783
4,Adam,St. Louis Football Team,203.52,182.32,157.75,0.9812672893507228
4,Jake,Lil Uzi Hurts,182.32,203.52,162.94,0.9199646776349041
4,roy s,Running Up That Hill,144.12,146.54,142.62,0.42774288459053306
4,Khari,Toney! Toni! Toné!,146.54,144.12,156.18,0.4705509631895245
4,Andy,AndysTeamThatDoesNotInspireAwe,117.94,149.22,159.17,0.1030250754722923
4,JL,Hit Me With Your Prescott,149.22,117.94,159.59,0.5184421166888104
4,Jean,Djeango,144.36,128.98,147.39,0.43195091994077944
4,JoeB,Mac & Chase,128.98,144.36,135.68,0.2019383402088837
4,Christopher,Christopher's Perfect Team,114.82,165.88,140.47,0.08414867255999686
4,sox fan,2 Gurleys 1 Kupp,165.88,114.82,160.42,0.7800065048860223
5,Adam,St. Louis Football Team,135.68,190.42,154.06,0.29010235573546683
5,JL,Hit Me With Your Prescott,190.42,135.68,164.84,0.9535299821482793
5,roy s,Running Up That Hill,114.18,136.14,145.59,0.08068647454595267
5,Christopher,Christopher's Perfect Team,136.14,114.18,147.16,0.29692639311724267
5,Andy,AndysTeamThatDoesNotInspireAwe,131.72,142.78,161.38,0.23537666064441645
5,Jean,Djeango,142.78,131.72,148.62,0.40445573743399565
5,Jake,Lil Uzi Hurts,151.08,191.02,164.36,0.5515342123755859
5,sox fan,2 Gurleys 1 Kupp,191.02,151.08,170.09,0.9553954384562012
5,Khari,Toney! Toni! Toné!,98.12,120.44,153.88,0.027066131058870183
5,JoeB,Mac & Chase,120.44,98.12,143.39,0.12076575373951463
1,Adam,St. Louis Football Team,120.72,149.94,156.11,0.12290898636185246
1,roy s,Running Up That Hill,149.94,120.72,164.33,0.5312872509865146
1,Andy,AndysTeamThatDoesNotInspireAwe,133.18,169.4,156.75,0.2546917543235831
1,sox fan,2 Gurleys 1 Kupp,169.4,133.18,164.48,0.8201751784330084
1,Jake,Lil Uzi Hurts,146.38,124.62,168.81,0.4677001722532676
1,Khari,Toney! Toni! Toné!,124.62,146.38,159.94,0.15628283975672794
1,Jean,Djeango,153.32,194.3,149.58,0.5907646390705843
1,JL,Hit Me With Your Prescott,194.3,153.32,168.99,0.964392752730846
1,Christopher,Christopher's Perfect Team,119.38,162.74,144.77,0.11294220335393673
1,JoeB,Mac & Chase,162.74,119.38,166.59,0.7390544865476399
2,Adam,St. Louis Football Team,139.9,158.5,150.78,0.3559521873594268
2,sox fan,2 Gurleys 1 Kupp,158.5,139.9,162.88,0.6764968047082462
2,roy s,Running Up That Hill,150.28,140.44,151.76,0.5373396696440899
2,Jean,Djeango,140.44,150.28,158.58,0.3648572811757134
2,Andy,AndysTeamThatDoesNotInspireAwe,171.66,199.7,158.68,0.842801406412526
2,Christopher,Christopher's Perfect Team,199.7,171.66,150.07,0.975523966836872
2,Jake,Lil Uzi Hurts,165.96,105.3,169.85,0.7809870489154735
2,JoeB,Mac & Chase,105.3,165.96,152.84,0.044431577546774396
2,Khari,Toney! Toni! Toné!,131.66,159.04,158.88,0.23460498611794814
2,JL,Hit Me With Your Prescott,159.04,131.66,148.26,0.6848933159638603
3,Adam,St. Louis Football Team,149.46,120.74,144.42,0.522727380077073
3,Christopher,Christopher's Perfect Team,120.74,149.46,157.9,0.1230633191796227
3,roy s,Running Up That Hill,102.3,157.2,162.64,0.03615956613218678
3,sox fan,2 Gurleys 1 Kupp,157.2,102.3,152.36,0.6558180958607743
3,Andy,AndysTeamThatDoesNotInspireAwe,144.36,180.76,154.03,0.43195091994077944
3,Jake,Lil Uzi Hurts,180.76,144.36,160.4,0.911352385195208
3,Jean,Djeango,134.62,144.88,153.85,0.2747365543770558
3,Khari,Toney! Toni! Toné!,144.88,134.62,154.66,0.4411013164463365
3,JL,Hit Me With Your Prescott,150.34,145.42,164.09,0.538406653430392
3,JoeB,Mac & Chase,145.42,150.34,151.93,0.4506460998034261
